"id","season","week","seasonType","startTime","gameIndoors","homeTeam","homeConference","awayTeam","awayConference","venueId","venue","temperature","dewPoint","humidity","precipitation","snowfall","windDirection","windSpeed","pressure","weatherConditionCode","weatherCondition"
401635544,2024,3,"regular","2024-09-14T19:30:00.000Z",FALSE,"Miami","ACC","Ball State","Mid-American",3948,"Hard Rock Stadium",87.8,74.7,65,0.295,0,120,10.6,1011,9,"Heavy Rain"
401628481,2024,3,"regular","2024-09-14T19:30:00.000Z",FALSE,"Minnesota","Big Ten","Nevada","Mountain West",3953,"Huntington Bank Stadium",75.2,68.2,79,0.004,0,150,10.3,1018,7,"Light Rain"
401629041,2024,3,"regular","2024-09-14T17:00:00.000Z",FALSE,"Buffalo","Mid-American","Massachusetts","FBS Independents",3965,"UB Stadium",82.9,58.8,44,0,0,85,5.6,1025,2,"Fair"
401636866,2024,3,"regular","2024-09-14T23:30:00.000Z",FALSE,"TCU","Big 12","UCF","Big 12",3616,"Amon G. Carter Stadium",91.4,72.5,54,0,0,110,3.4,1009.1,3,"Cloudy"
401636364,2024,3,"regular","2024-09-14T22:30:00.000Z",FALSE,"Western Michigan","Mid-American","Bethune-Cookman","SWAC",3980,"Waldo Stadium",79.2,60.1,52,0,0,100,4.7,1020.5,1,"Clear"
401629030,2024,3,"regular","2024-09-14T22:00:00.000Z",FALSE,"Duke","ACC","UConn","FBS Independents",3982,"Wallace Wade Stadium",77.4,65.1,66,0,0,40,8.1,1019,3,"Cloudy"
401628354,2024,3,"regular","2024-09-14T23:30:00.000Z",FALSE,"Kentucky","SEC","Georgia","SEC",3683,"Kroger Field",81.9,59,46,0,0,90,7,1016.9,2,"Fair"
401628356,2024,3,"regular","2024-09-14T23:30:00.000Z",FALSE,"Mississippi State","SEC","Toledo","Mid-American",3693,"Davis Wade Stadium",75,71.6,89,0.075,0,0,0,1012,18,"Heavy Rain Shower"
401641033,2024,3,"regular","2024-09-15T02:30:00.000Z",FALSE,"Fresno State","Mountain West","New Mexico State","Conference USA",3660,"Valley Children's Stadium",84.2,45.7,26,0,0,330,6.8,1008,2,"Fair"
401635541,2024,3,"regular","2024-09-15T02:30:00.000Z",FALSE,"California","ACC","San Diego State","Mountain West",3831,"California Memorial Stadium",59.4,56.5,90,0,0,280,10.6,1011,2,"Fair"
401636871,2024,3,"regular","2024-09-15T01:00:00.000Z",FALSE,"Wyoming","Mountain West","BYU","Big 12",3984,"War Memorial Stadium",62.8,21.2,20,0,0,270,8.1,1021,1,"Clear"
401641017,2024,3,"regular","2024-09-14T23:00:00.000Z",FALSE,"San José State","Mountain West","Kennesaw State","Conference USA",3935,"CEFCU Stadium",87.4,51.3,29,0,0,324,12.3,1009.1,1,"Clear"
401628480,2024,3,"regular","2024-09-14T19:30:00.000Z",FALSE,"Michigan State","Big Ten","Prairie View A&M","SWAC",3936,"Spartan Stadium",82.4,61.3,49,0,0,130,11.8,1022,3,"Cloudy"
401643788,2024,3,"regular","2024-09-12T23:30:00.000Z",FALSE,"South Alabama","Sun Belt","Northwestern State","Southland",6526,"Hancock Whitney Stadium",79.7,72,77,0,0,190,5.8,1008.6,2,"Fair"
401628478,2024,3,"regular","2024-09-15T00:00:00.000Z",FALSE,"Virginia","ACC","Maryland","Big Ten",3923,"Scott Stadium",69.4,57.6,66,0,0,10,3.4,1023,3,"Cloudy"
401628493,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Penn State","Big Ten","Kent State","Mid-American",3632,"Beaver Stadium",70.2,64.8,83,0.071,0,120,4.7,1014,18,"Heavy Rain Shower"
401634766,2024,4,"regular","2024-09-20T23:30:00.000Z",TRUE,"Syracuse","ACC","Stanford","ACC",1964,"JMA Wireless Dome",72.5,57.4,59,0,0,90,3.4,1013.9,2,"Fair"
401628471,2024,2,"regular","2024-09-07T16:00:00.000Z",FALSE,"Rutgers","Big Ten","Akron","Mid-American",6577,"SHI Stadium",76.1,63.9,66,0.008,0,204,8.7,1009.6,7,"Light Rain"
401628485,2024,4,"regular","2024-09-21T00:00:00.000Z",FALSE,"Nebraska","Big Ten","Illinois","Big Ten",3834,"Memorial Stadium (Lincoln, NE)",83.1,51.1,33,0,0,130,7,1006.8,1,"Clear"
401628475,2024,3,"regular","2024-09-14T16:00:00.000Z",FALSE,"Illinois","Big Ten","Central Michigan","Mid-American",3832,"Memorial Stadium (Champaign, IL)",82.4,66.2,58,0,0,90,6.8,1019,2,"Fair"
401628351,2024,3,"regular","2024-09-14T20:15:00.000Z",FALSE,"Arkansas","SEC","UAB","American Athletic",3887,"Razorback Stadium",84.7,63.9,51,0,0,120,7,1013.3,3,"Cloudy"
401636870,2024,3,"regular","2024-09-14T20:30:00.000Z",FALSE,"Utah State","Mountain West","Utah","Big 12",3905,"Maverik Stadium",78.1,42.3,28,0,0,160,4.7,1012.1,1,"Clear"
401628978,2024,3,"regular","2024-09-14T19:30:00.000Z",FALSE,"Purdue","Big Ten","Notre Dame","FBS Independents",3907,"Ross-Ade Stadium",89.4,57.4,34,0,0,90,10.6,1018,2,"Fair"
401628489,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Michigan","Big Ten","USC","Big Ten",3558,"Michigan Stadium",86,49.1,28,0,0,300,12.4,1013,1,"Clear"
401645330,2024,4,"regular","2024-09-21T19:30:00.000Z",TRUE,"UTSA","American Athletic","Houston Christian","Southland",3604,"Alamodome",95.7,66,38,0,0,130,8.1,1007.3,2,"Fair"
401628482,2024,3,"regular","2024-09-14T23:30:00.000Z",FALSE,"Nebraska","Big Ten","Northern Iowa","MVFC",3834,"Memorial Stadium (Lincoln, NE)",79.2,63.1,58,0,0,150,10.3,1014.9,1,"Clear"
401628358,2024,3,"regular","2024-09-14T19:30:00.000Z",FALSE,"Oklahoma","SEC","Tulane","American Athletic",3835,"Memorial Stadium (Norman, OK)",89.6,62.8,41,0,0,100,10.6,1012,1,"Clear"
401628357,2024,3,"regular","2024-09-14T16:45:00.000Z",FALSE,"Missouri","SEC","Boston College","ACC",3838,"Memorial Stadium",83.1,67.8,60,0,0,140,9.3,1018,3,"Cloudy"
401628361,2024,3,"regular","2024-09-14T23:00:00.000Z",FALSE,"Texas","SEC","UTSA","American Athletic",3910,"DKR-Texas Memorial Stadium",95.5,66.7,39,0,0,150,4.7,1009.3,1,"Clear"
401640999,2024,3,"regular","2024-09-14T23:00:00.000Z",FALSE,"Eastern Michigan","Mid-American","Jacksonville State","Conference USA",3912,"Rynearson Stadium",73.2,61.2,66,0,0,110,4.7,1021.7,2,"Fair"
401635548,2024,3,"regular","2024-09-14T22:00:00.000Z",FALSE,"Old Dominion","Sun Belt","Virginia Tech","ACC",3918,"S.B. Ballard Stadium",75.2,69.3,82,0,0,60,14.9,1021,3,"Cloudy"
401643790,2024,4,"regular","2024-09-19T23:30:00.000Z",FALSE,"App State","Sun Belt","South Alabama","Sun Belt",3792,"Kidd Brewer Stadium",63.7,63.7,100,0,0,0,0,1011,2,"Fair"
401645329,2024,4,"regular","2024-09-21T19:30:00.000Z",FALSE,"Navy","American Athletic","Memphis","American Athletic",3852,"Navy-Marine Corps Memorial Stadium",77,66,69,0,0,160,8.1,1013.4,2,"Fair"
