"season","team","conference","statName","statValue"
2024,"Akron","Mid-American","puntReturnYardsOpponent",147
2024,"Akron","Mid-American","rushingAttempts",342
2024,"Akron","Mid-American","rushingAttemptsOpponent",469
2024,"Akron","Mid-American","rushingTDs",11
2024,"Akron","Mid-American","rushingTDsOpponent",23
2024,"Akron","Mid-American","rushingYards",1206
2024,"Akron","Mid-American","rushingYardsOpponent",2184
2024,"Akron","Mid-American","sacks",18
2024,"Akron","Mid-American","sacksOpponent",29
2024,"Akron","Mid-American","tacklesForLoss",60
2024,"Akron","Mid-American","tacklesForLossOpponent",63
2024,"Akron","Mid-American","thirdDownConversions",58
2024,"Akron","Mid-American","thirdDownConversionsOpponent",62
2024,"Akron","Mid-American","thirdDowns",162
2024,"Akron","Mid-American","thirdDownsOpponent",163
2024,"Akron","Mid-American","totalYards",3996
2024,"Akron","Mid-American","totalYardsOpponent",4964
2024,"Akron","Mid-American","turnovers",20
2024,"Akron","Mid-American","turnoversOpponent",10
2024,"Alabama","SEC","firstDowns",271
2024,"Alabama","SEC","firstDownsOpponent",245
2024,"Alabama","SEC","fourthDownConversions",8
2024,"Alabama","SEC","fourthDownConversionsOpponent",15
2024,"Alabama","SEC","fourthDowns",16
2024,"Alabama","SEC","fourthDownsOpponent",23
2024,"Alabama","SEC","fumblesLost",10
2024,"Alabama","SEC","fumblesLostOpponent",11
2024,"Alabama","SEC","fumblesRecovered",11
2024,"Alabama","SEC","fumblesRecoveredOpponent",10
2024,"Alabama","SEC","games",13
2024,"Alabama","SEC","interceptions",11
2024,"Alabama","SEC","interceptionsOpponent",17
2024,"Alabama","SEC","interceptionTDs",0
2024,"Alabama","SEC","interceptionTDsOpponent",2
2024,"Alabama","SEC","interceptionYards",242
2024,"Alabama","SEC","interceptionYardsOpponent",200
2024,"Alabama","SEC","kickReturns",14
2024,"Alabama","SEC","kickReturnsOpponent",26
2024,"Alabama","SEC","kickReturnTDs",0
2024,"Alabama","SEC","kickReturnTDsOpponent",0
2024,"Alabama","SEC","kickReturnYards",282
2024,"Alabama","SEC","kickReturnYardsOpponent",478
2024,"Alabama","SEC","netPassingYards",3073
2024,"Alabama","SEC","netPassingYardsOpponent",2369
2024,"Alabama","SEC","passAttempts",354
2024,"Alabama","SEC","passAttemptsOpponent",395
2024,"Alabama","SEC","passCompletions",226
2024,"Alabama","SEC","passCompletionsOpponent",236
2024,"Alabama","SEC","passesIntercepted",17
2024,"Alabama","SEC","passesInterceptedOpponent",11
2024,"Alabama","SEC","passingTDs",17
2024,"Alabama","SEC","passingTDsOpponent",13
2024,"Alabama","SEC","penalties",95
2024,"Alabama","SEC","penaltiesOpponent",75
2024,"Alabama","SEC","penaltyYards",897
2024,"Alabama","SEC","penaltyYardsOpponent",622
2024,"Alabama","SEC","possessionTime",22878
2024,"Alabama","SEC","possessionTimeOpponent",23922
2024,"Alabama","SEC","puntReturns",25
2024,"Alabama","SEC","puntReturnsOpponent",8
2024,"Alabama","SEC","puntReturnTDs",0
2024,"Alabama","SEC","puntReturnTDsOpponent",0
2024,"Alabama","SEC","puntReturnYards",224
2024,"Alabama","SEC","puntReturnYardsOpponent",8
2024,"Alabama","SEC","rushingAttempts",487
2024,"Alabama","SEC","rushingAttemptsOpponent",484
2024,"Alabama","SEC","rushingTDs",41
2024,"Alabama","SEC","rushingTDsOpponent",10
