game_id,season,week,season_type,start_time,game_indoors,home_team,home_conference,away_team,away_conference,venue_id,venue,temperature,dew_point,humidity,precipitation,snowfall,wind_direction,wind_speed,pressure,weather_condition_code,weather_condition
401676431,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Hampden-Sydney,Old Dominion,Randolph-Macon,Old Dominion,5896,Lewis C. Everett Stadium,64.4,42.8,45,0,0,320,3.4,1017,1,Clear
401673955,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Washington University (St. Louis),CCIW,Augustana (IL),CCIW,5897,Francis Field (MO),55.8,45,67,0,0,156,10.1,1018.1,3,Cloudy
401636927,2024,12,regular,2024-11-17T00:00:00.000Z,FALSE,Kansas State,Big 12,Arizona State,Big 12,3636,Bill Snyder Family Stadium,55,50,83,0,0,0,0,1006.6,2,Fair
401643835,2024,12,regular,2024-11-17T00:00:00.000Z,FALSE,Texas State,Sun Belt,Southern Miss,Sun Belt,3644,Bobcat Stadium (TX),73.9,53.6,49,0,0,140,10.3,1011,3,Cloudy
401643834,2024,12,regular,2024-11-17T00:00:00.000Z,FALSE,Louisiana,Sun Belt,South Alabama,Sun Belt,3666,Cajun Field,67.1,61.2,81,0,0,0,0,1014.8,3,Cloudy
401636926,2024,12,regular,2024-11-17T01:00:00.000Z,FALSE,Iowa State,Big 12,Cincinnati,Big 12,3772,Jack Trice Stadium,49.1,43.2,80,0,0,140,11.4,1008.4,3,Cloudy
401635582,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Pittsburgh,ACC,Clemson,ACC,3752,Acrisure Stadium,50.7,39.9,66,0,0,340,5.8,1022.1,4,Overcast
401675123,2024,12,regular,2024-11-16T20:00:00.000Z,FALSE,Stephen F. Austin,Southland,Incarnate Word,Southland,3756,Homer Bryce Stadium,72.3,56.7,58,0,0,130,9.3,1014,3,Cloudy
401654536,2024,12,regular,2024-11-16T21:00:00.000Z,FALSE,Morgan State,MEAC,South Carolina State,MEAC,3762,Hughes Stadium,58.3,37.6,46,0,0,326,11.2,1015.9,1,Clear
401628553,2024,12,regular,2024-11-16T02:00:00.000Z,FALSE,Washington,Big Ten,UCLA,Big Ten,3765,Husky Stadium,44.6,38.8,80,0,0,110,5.6,1021,2,Fair
401675453,2024,12,regular,2024-11-16T18:00:00.000Z,FALSE,Lake Erie,Great Midwest Athletic,Thomas More College,Great Midwest Athletic,3769,Jack Britt Memorial Stadium,52.5,39.9,62,0,0,360,3.4,1022,3,Cloudy
401674909,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Framingham State,MSCAC,Worcester St,MSCAC,3819,Bowditch Field,60.4,29.7,31,0,0,310,17.4,1007.2,1,Clear
401677497,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Worcester Polytechnic Institute,NEWMAC,MIT,NEWMAC,5899,"Alumni Stadium (Worcester, MA)",61.5,33.3,34,0,0,320,17.4,1007.3,1,Clear
401675953,2024,12,regular,2024-11-16T19:00:00.000Z,FALSE,Wisconsin-Stout,Wisconsin,Wisconsin-Platteville,Wisconsin,5900,Don and Nona Williams Stadium,53.2,43.9,70,0,0,140,21.7,1011,3,Cloudy
401676113,2024,12,regular,2024-11-16T17:00:00.000Z,FALSE,Oberlin,North Coast,Hiram College,North Coast,6096,Austin E. Knowlton Athletics Complex,52.7,42.6,68,0,0,0,0,1022.6,3,Cloudy
